# Crypt module comprehens# Common encryption keys ---
# Simple key: 0x12345678
305419896,305419896,0
1000000000,305419896,699309176
2000000000,305419896,1694614136
3000000000,305419896,2699298936st cases
# XOR-based symmetric encryption/decryption test vectors
# Format: data_in,key,expected_data_out
# Since XOR is symmetric: encrypt(data, key) = decrypt(encrypted_data, key) = data

# --- Basic XOR operations ---
# 0x00000000 ^ 0x00000000 = 0x00000000
0,0,0
# 0xFFFFFFFF ^ 0x00000000 = 0xFFFFFFFF (no encryption)
4294967295,0,4294967295
# 0x00000000 ^ 0xFFFFFFFF = 0xFFFFFFFF (full flip)
0,4294967295,4294967295
# 0xFFFFFFFF ^ 0xFFFFFFFF = 0x00000000 (cancel out)
4294967295,4294967295,0

# --- Simple patterns ---
# 0x12345678 ^ 0x00000000 = 0x12345678 (no change)
305419896,0,305419896
# 0x12345678 ^ 0xFFFFFFFF = 0xEDCBA987 (bit flip)
305419896,4294967295,3989547399
# 0xAAAAAAAA ^ 0x55555555 = 0xFFFFFFFF (alternating bits)
2863311530,1431655765,4294967295
# 0x55555555 ^ 0xAAAAAAAA = 0xFFFFFFFF (alternating bits)
1431655765,2863311530,4294967295

# --- Common encryption keys ---
# Simple key: 0x12345678
305419896,305419896,0

# Another key: 0xDEADBEEF
3735928559,3735928559,0
305419896,3735928559,3432638615
1234567890,3735928559,2537274429
987654321,3735928559,3832796766

# --- Byte-wise patterns ---
# Key: 0xFF000000 (encrypt only MSB)
255,4278190080,4278190335
65535,4278190080,4278255615
16777215,4278190080,4294967295
4294967295,4278190080,16777215

# Key: 0x00FF0000 (encrypt only 2nd byte)
255,16711680,16711935
65535,16711680,16777215
16777215,16711680,65535
4294967295,16711680,4278255615

# Key: 0x0000FF00 (encrypt only 3rd byte)
255,65280,65535
65535,65280,255
16777215,65280,16711935
4294967295,65280,4294902015

# Key: 0x000000FF (encrypt only LSB)
255,255,0
65535,255,65280
16777215,255,16776960
4294967295,255,4294967040

# --- Random test vectors ---
# Test case 1
123456789,987654321,1032168868
# Test case 2
1111111111,2222222222,3327024713
# Test case 3
3141592653,2718281828,423974441
# Test case 4
4000000000,1000000000,3589399040

# --- Palindromic patterns ---
# 0x12344321 ^ 0x12344321 = 0x00000000
305463073,305463073,0
# 0xABCDDCBA ^ 0x12344321 = 0xB9F99F9B
2882382010,305463073,3120125851

# --- Power of 2 patterns ---
# Powers of 2 as data
1,1,0
2,1,3
4,1,5
8,1,9
16,1,17
32,1,33
64,1,65
128,1,129
256,1,257
512,1,513
1024,1,1025
2048,1,2049
4096,1,4097
8192,1,8193
16384,1,16385
32768,1,32769
65536,1,65537
131072,1,131073
262144,1,262145
524288,1,524289
1048576,1,1048577
2097152,1,2097153
4194304,1,4194305
8388608,1,8388609
16777216,1,16777217
33554432,1,33554433
67108864,1,67108865
134217728,1,134217729
268435456,1,268435457
536870912,1,536870913
1073741824,1,1073741825
2147483648,1,2147483649

# --- Edge cases ---
# Maximum values
4294967295,1,4294967294
4294967294,1,4294967295
2147483647,2147483648,4294967295
2147483648,2147483647,4294967295

# --- Symmetric encryption validation ---
# Encrypt then decrypt should return original
# Original: 0x12345678, Key: 0xABCDEF01
# Encrypted: 0x12345678 ^ 0xABCDEF01 = 0xB9F9B979
305419896,2882400001,3120150905
# Decrypt: 0xB9F9B979 ^ 0xABCDEF01 = 0x12345678
3120150905,2882400001,305419896

# Original: 0xDEADBEEF, Key: 0x13579BDF
# Encrypted: 0xDEADBEEF ^ 0x13579BDF = 0xCDFA2530
3735928559,324508639,3455722800
# Decrypt: 0xCDFA2530 ^ 0x13579BDF = 0xDEADBEEF
3455722800,324508639,3735928559

# --- All zeros and all ones with various keys ---
0,1,1
0,255,255
0,65535,65535
0,16777215,16777215
0,2147483647,2147483647
0,2147483648,2147483648
0,4294967294,4294967294
0,4294967295,4294967295

4294967295,1,4294967294
4294967295,255,4294967040
4294967295,65535,4294901760
4294967295,16777215,4278190080
4294967295,2147483647,2147483648
4294967295,2147483648,2147483647
4294967295,4294967294,1
